,Title,Link
0,"UkraineUS and Russia agree to explore mutual opportunities of end to Ukraine war4m agoVolodymyr ZelenskyyUkraine will never accept Russia’s ultimatums, Zelenskyy saysAnalysisUkraine and Europe made to sit outside as US and Russia sharpen their carving knivesUkraineSecurity for Ukraine could be achieved with fewer troops, say UK sources",https://www.theguardian.com/international/world/2025/feb/18/us-russia-ukraine-talks-riyadh-saudi-arabia
1,CanadaNew footage shows Delta plane flipping over in fiery crash landing in Toronto2h ago,https://www.theguardian.com/international/world/2025/feb/18/toronto-plane-crash-video
2,Middle EastHamas says it will hand over bodies of Bibas family and free six hostages2h ago,https://www.theguardian.com/international/world/2025/feb/18/hamas-says-it-will-hand-over-bodies-of-bibas-family-and-six-hostages
3,"LiveBayern Munich v Celtic: Champions League playoff round, second leg19s ago",https://www.theguardian.com/international/football/live/2025/feb/18/bayern-munich-v-celtic-champions-league-playoff-round-second-leg-live
4,Andrew TateAndrew Tate’s alleged victims urge US to stay out of Romanian criminal proceedings29m ago,https://www.theguardian.com/international/news/2025/feb/18/andrew-tates-alleged-victims-urge-us-officials-to-stay-out-of-romanian-criminal-proceedings
